id;contract_type_id;contract_type_name;contract_type_code
1;heuristic Chief responsive;program Street;6th
2;Checking Borders;Personal orchid;Interactions Soft drive
3;Customer-focused engage calculate;Concrete Refined;streamline encryption
4;Home engineer;Computers Automated;Quality
5;networks synthesizing Glens;Berkshire solid task-force;24/7 program
6;Planner content-based collaborative;e-business Personal;Cotton Concrete
7;Lodge indigo;Administrator;Verde action-items Row
8;Dynamic fuchsia;Electronics SDD;Cross-platform Automotive convergence
9;Unbranded Alabama;initiatives gold Granite;Spain online
10;mobile Qatari generate;connect;Wooden end-to-end
