id;currency_id;currency_num;currency_code;currency_name;currency_exchange_rate_id;conversion_rate
1;architectures Infrastructure Manat;transmit;XPT;Vatu;81117;78874
2;JBOD Ville;Lanka;SYP;Dong;85972;41934
3;optical;Account vortals Wyoming;PLN;Peso Uruguayo;28689;62862
4;Hong Orchestrator;Quality matrix;XFU;Kwanza;50456;58771
5;Money Burgs;next-generation Cheese uniform;BND;Nuevo Sol;51033;13736
6;Mouse;Forward turquoise Computers;DJF;European Monetary Unit (E.M.U.-6);32311;61931
7;Soft deposit line;revolutionary;XBA;Nakfa;15515;48165
8;Clothing Borders;Squares web-enabled Sports;EUR;CFP Franc;37893;83831
9;Licensed;Soft Summit Director;CNY;Iceland Krona;1714;38056
10;Falls Generic Sausages;Unbranded;SYP;Silver;4605;58893
