id;group_name;created_date;created_by;last_modified_date;last_modified_by
1;connect Helena;2024-12-04T22:33:48;moratorium Cambridgeshire Shoals;2024-12-04T07:38:07;Programmable Ecuador
2;capability;2024-12-04T06:15:07;International;2024-12-04T15:58:55;paradigm interfaces even-keeled
3;Home;2024-12-04T20:21:24;pixel digital;2024-12-05T01:19:10;redundant Front-line infomediaries
4;JSON gold;2024-12-04T07:12:30;Fundamental pixel Borders;2024-12-04T22:19:19;Wyoming
5;Loan conglomeration Ranch;2024-12-04T09:45:43;primary;2024-12-04T21:03:36;architectures
6;policy Table;2024-12-04T23:34:48;Fresh Oro;2024-12-04T03:17:40;Principal partnerships
7;Utah;2024-12-05T00:05:20;Corporate Concrete blue;2024-12-04T11:43:20;synthesizing Unions
8;drive;2024-12-04T16:20:24;Germany Valleys;2024-12-04T23:40:26;1080p
9;and Regional Salad;2024-12-04T06:16:26;Ramp;2024-12-04T14:55:54;deliver Burundi
10;Infrastructure Dynamic Developer;2024-12-04T20:18:32;object-oriented Generic Frozen;2024-12-04T20:28:22;Computers Grass-roots Principal
