id;code;customer_name;customer_short_name;customer_type
1;connect;Incredible turquoise circuit;lime;Gloves Coves
2;Plastic upward-trending;payment;methodologies;application
3;Park;static;Computer eco-centric;Home Accountability invoice
4;payment;magnetic;Chair CSS;users white USB
5;Sleek;Metrics Dynamic;deploy;Tasty
6;responsive;Knolls Wooden white;orchid Home Future;Kenyan Rubber copying
7;Re-engineered Burg;e-tailers;teal green;Granite
8;application Kyat Frozen;Faroe program back-end;groupware Gourde panel;overriding
9;Chips;Table motivating;Fully-configurable Bacon;defect white Dynamic
10;Utah Compatible;Qatari Card Sao;Poland Computers;Integrated throughput supply-chains
