id;opportunity_stage_id;opportunity_stage_name;opportunity_stage_code
1;Kids;hack driver EXE;maximize Program
2;deposit Credit;Cambridgeshire Barbuda Underpass;copying
3;Associate Auto Polarised;SQL knowledge;Home Account
4;leverage;RSS Refined;vertical
5;engine;local;Gorgeous extend
6;transmitting Architect;Research Facilitator navigate;Account Bolivia
7;Factors Course;users;mission-critical
8;Gorgeous violet;Analyst Refined;pixel
9;Card Pennsylvania Synchronised;Avon Avon;Stravenue Developer
10;Lane Mongolia Hungary;Customer;Tennessee JBOD
