id;opportunity_stage_reason_id;opportunity_stage_id;opportunity_stage_reason_name
1;Soft;Account Generic Shoes;models Peso Regional
2;River Metal orchid;payment transform lavender;Games Brazil
3;index;haptic quantify Computers;Borders
4;Granite Account;Cambridgeshire;Dollar
5;Designer Tools;Cliff Vermont;Tuna
6;Account deposit;mobile Wooden;Unbranded
7;Officer Incredible;Salad visualize Dinar;Heights
8;Bike Product Gloves;Ball parsing;sexy Helena Mayotte
9;portal Advanced;Chips hard;redundant Faso withdrawal
10;sensor;Buckinghamshire;Producer Shirt Borders
