id;payment_term_id;payment_term_code;payment_term_name
1;Congo;reintermediate Handcrafted Norway;Berkshire
2;exploit Executive Officer;Hat;South withdrawal Producer
3;Minnesota;Orchestrator Arkansas AI;Unbranded
4;maroon program;Hat;yellow haptic
5;navigate Cambridgeshire;Table;transmitter reintermediate
6;Bedfordshire withdrawal primary;Consultant;Optional Specialist
7;infrastructures Island;open-source Soft;data-warehouse
8;Branch Fresh reboot;interface SCSI program;European Account
9;XSS;Cotton Chair;Supervisor leading
10;Assimilated;Louisiana;Korean
