id;group_name;created_date;created_by;last_modified_date;last_modified_by
1;incentivize;2024-12-04T21:49:41;Up-sized Concrete Small;2024-12-04T08:05:37;enable Agent indigo
2;Dynamic Borders Buckinghamshire;2024-12-05T00:12:47;Taka;2024-12-04T22:57:38;HDD HDD
3;purple Chief drive;2024-12-04T18:09:03;technologies;2024-12-04T17:42:08;background Operative Money
4;SCSI;2024-12-04T14:58:51;Licensed Utah neural;2024-12-05T00:31:57;port Unbranded Architect
5;Cotton Engineer Keyboard;2024-12-04T12:30:38;strategic;2024-12-04T21:02:21;wireless Cambridgeshire
6;exploit;2024-12-05T00:38:22;Baby world-class Account;2024-12-04T08:06:52;encompassing driver
7;parsing moratorium feed;2024-12-04T14:55:30;panel;2024-12-04T02:34:56;Botswana indexing Electronics
8;HTTP;2024-12-05T00:04:58;Tasty Representative;2024-12-04T14:28:14;Brand invoice
9;Florida Peso Avon;2024-12-05T01:14:57;Operations UIC-Franc;2024-12-04T19:49:26;Integration Kids Keyboard
10;Checking distributed;2024-12-04T05:53:23;Metal;2024-12-04T10:44:45;HDD Research Crossing
