id;opportunity_id;opportunity_code;opportunity_name;opportunity_type_name;start_date;close_date;stage_id;stage_reason_id;employee_id;lead_id;currency_code;account_id;product_id;sales_price_prd;value
1;30730;strategic;integrate calculating Unbranded;Orchestrator;2024-12-04;2024-12-04;43874;55908;726;19032;PKR;15027;71951;12378;49898
2;52976;Avon olive;Knoll;distributed Antilles Small;2024-12-04;2024-12-04;45883;45137;19123;96478;PEN;21289;17287;86189;72569
3;29529;FTP;e-enable reinvent Home;Tuna Belize;2024-12-04;2024-12-04;76600;39083;15161;66684;VUV;72659;71669;84655;97345
4;40380;HTTP Coordinator streamline;Supervisor virtual;Rubber;2024-12-04;2024-12-04;37014;79939;99643;47273;KRW;28199;39825;10144;73756
5;88324;Riel;static;invoice compress extend;2024-12-04;2024-12-04;25018;33488;73474;26839;BHD;37228;97013;99572;3097
6;65694;matrix;Vermont;Berkshire;2024-12-04;2024-12-04;20065;30727;26853;81331;NPR;13062;94945;21987;73307
7;42827;Metal;local neutral compress;RAM;2024-12-05;2024-12-05;88537;65764;92076;33738;RUB;73495;3213;56990;6573
8;20302;Assistant;Plastic Loti;mobile target;2024-12-04;2024-12-04;3294;44800;95006;68044;CNY;53712;34288;73274;49284
9;93004;Investment Account cultivate;Car transmit Dalasi;content-based;2024-12-04;2024-12-05;18283;71276;80139;75754;BMD;96962;44625;66144;83667
10;23403;Orchestrator Oklahoma Home;Ways;Baht withdrawal;2024-12-04;2024-12-04;82033;62217;8097;70123;SLL;85299;65639;99490;96778
